,area,year_start,year_end,age_start,age_end,sex,data_type,value,effective_sample_size,upper_ci,lower_ci,standard_error,x_cv_ascertainment,x_cv_representative
0,Shanghai,2018,2018,65,69,male,p,0.0132,987,,,,0,1
1,Shanghai,2018,2018,70,74,male,p,0.0182,769,,,,0,1
2,Shanghai,2018,2018,75,79,male,p,0.0483,352,,,,0,1
3,Shanghai,2018,2018,80,84,male,p,0.0723,166,,,,0,1
118,Xinjiang,2007,2010,45,54,female,p,0.0015,2054,,,,0,0
119,Xinjiang,2007,2010,55,64,female,p,0.0012,1604,,,,0,0
120,Xinjiang,2007,2010,65,74,female,p,0.0101,993,,,,0,0
121,Xinjiang,2007,2010,75,100,female,p,0.0256,195,,,,0,0
122,Shanghai,2006,2006,60,100,male,p,0.0198,1718,,,,0,1
123,Shanghai,2006,2006,60,100,female,p,0.0163,2204,,,,0,1
124,Shanghai,2006,2006,60,64,total,p,0.0077,1550,,0.004,0.014,0,1
125,Shanghai,2006,2006,65,69,total,p,0.0141,708,,0.007,0.026,0,1
126,Shanghai,2006,2006,70,74,total,p,0.0169,767,,0.009,0.029,0,1
127,Shanghai,2006,2006,75,79,total,p,0.026,538,,0.014,0.043,0,1
137,Yunnan,2001,2012,31,40,female,p,0,35002,,0,0,0,0
138,Yunnan,2001,2012,41,50,female,p,0.0004,43258,,0.0004,0.0004,0,0
139,Yunnan,2001,2012,51,60,female,p,0.001,37395,,0.0009,0.001,0,0
140,Yunnan,2001,2012,61,70,female,p,0.0023,33233,,0.0023,0.0024,0,0
141,Yunnan,2001,2012,71,80,female,p,0.0061,25581,,0.006,0.0061,0,0
142,Yunnan,2001,2012,81,100,female,p,0.0083,6886,,0.0082,0.0084,0,0
143,Yunnan,2001,2012,0,30,male,p,0.0001,16774,,0.0001,0.0001,0,0
144,Yunnan,2001,2012,31,40,male,p,0.0004,30915,,0.0003,0.0004,0,0
145,Yunnan,2001,2012,41,50,male,p,0.0008,42265,,0.0007,0.0008,0,0
146,Yunnan,2001,2012,51,60,male,p,0.0016,40352,,0.0015,0.0016,0,0
147,Yunnan,2001,2012,61,70,male,p,0.0032,43376,,0.0031,0.0032,0,0
148,Yunnan,2001,2012,71,80,male,p,0.0059,38749,,0.0059,0.006,0,0
149,Yunnan,2001,2012,81,100,male,p,0.0074,12532,,0.0074,0.0075,0,0
150,China,2014,2015,40,100,male,p,0.0213,386975,,,,0,0
151,China,2014,2015,40,100,female,p,0.0297,339476,,,,0,0
152,China,2014,2015,40,49,total,p,0.0115,224361,,,,0,0
153,China,2014,2015,50,59,total,p,0.0219,213178,,,,0,0
154,China,2014,2015,60,69,total,p,0.0357,172905,,,,0,0
155,China,2014,2015,70,100,total,p,0.0457,116007,,,,0,0
156,China,2004,2004,35,59,male,p,0.004093063,4642,,,,0,0
157,China,2004,2004,60,100,male,p,0.018281993,3993,,,,0,0
158,China,2004,2004,35,59,female,p,0.004251299,6351,,,,0,0
159,China,2004,2004,60,100,female,p,0.018277359,4377,,,,0,0
174,Shandong,2004,2014,0,30,total,p,5.85E-05,51243,,,,0,0
175,Shandong,2004,2014,30,34,total,p,0.000116269,34403,,,,0,0
176,Shandong,2004,2014,35,39,total,p,0.000279384,35793,,,,0,0
177,Shandong,2004,2014,40,44,total,p,0.000340368,35256,,,,0,0
178,Shandong,2004,2014,45,49,total,p,0.000445795,24675,,,,0,0
179,Shandong,2004,2014,50,54,total,p,0.000939163,19166,,,,0,0
180,Shandong,2004,2014,55,59,total,p,0.000619099,12922,,,,0,0
181,Shandong,2004,2014,60,64,total,p,0.001415261,8479,,,,0,0
182,Shandong,2004,2014,65,69,total,p,0.003406188,7046,,,,0,0
183,Shandong,2004,2014,70,74,total,p,0.00352,6250,,,,0,0
184,Shandong,2004,2014,75,79,total,p,0.007210343,4022,,,,0,0
185,Shandong,2004,2014,80,85,total,p,0.007067138,1415,,,,0,0
186,Shandong,2004,2014,45,85,male,p,0.004994825,22223,,,,0,0
187,Shandong,2004,2014,45,85,female,p,0.002097966,10963,,,,0,0
